#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0     9998    0.833    1.930    0.355     8073    2.607
       1     1886    0.157    1.719    0.384     7663    3.071
       2      116    0.010    1.967    0.811    11092    3.845
