#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0     3313    0.230    1.538    0.307    11250    1.685
       1      747    0.052    1.272    0.163    12026    1.524
       2      567    0.039    1.132    0.156    14148    1.867
       3      564    0.039    1.186    0.192     2290    1.656
       4      443    0.031    1.229    0.252     5715    2.116
       5      383    0.027    1.122    0.162     1052    2.425
       6      333    0.023    1.234    0.197     6467    1.698
       7      280    0.019    1.099    0.167    14384    2.284
       8      262    0.018    1.081    0.131     1670    1.737
       9      197    0.014    1.164    0.162     8020    1.605
      10      196    0.014    1.192    0.177    14065    2.508
      11      195    0.014    1.101    0.156      296    2.129
      12      193    0.013    1.088    0.159     5611    1.847
      13      171    0.012    1.138    0.201    13694    1.787
      14      170    0.012    1.153    0.163     5825    1.625
      15      162    0.011    1.122    0.132     3264    1.563
      16      157    0.011    1.154    0.159     3064    1.684
      17      150    0.010    1.062    0.153    11107    1.743
      18      137    0.010    1.216    0.218    12101    1.548
      19      124    0.009    1.120    0.191    12929    1.966
      20      106    0.007    1.035    0.112      702    2.154
      21       96    0.007    0.944    0.144     1388    1.778
      22       91    0.006    1.000    0.100     2589    1.658
      23       86    0.006    1.002    0.105     7514    1.812
      24       72    0.005    0.985    0.099    10762    1.724
      25       70    0.005    1.020    0.117     8928    1.701
      26       70    0.005    1.008    0.097     1929    1.904
      27       66    0.005    0.973    0.108     1591    1.816
      28       63    0.004    0.948    0.126    12225    1.802
      29       62    0.004    1.012    0.079     9650    1.815
      30       61    0.004    0.907    0.115     9537    2.166
      31       60    0.004    1.050    0.146     3395    1.855
      32       60    0.004    1.064    0.131     1864    1.706
      33       58    0.004    1.032    0.116    12190    1.509
      34       57    0.004    1.054    0.137     9402    1.588
      35       55    0.004    0.976    0.080     5076    1.703
      36       55    0.004    0.924    0.112    11092    1.724
      37       54    0.004    1.015    0.118     8287    1.588
      38       54    0.004    1.037    0.126     6933    1.607
      39       51    0.004    0.982    0.098     8388    1.950
      40       51    0.004    0.889    0.075     6673    1.753
      41       47    0.003    1.013    0.127    10997    1.758
      42       44    0.003    1.012    0.080    12309    1.780
      43       42    0.003    0.951    0.078     7797    1.753
      44       41    0.003    0.988    0.169     5131    1.793
      45       39    0.003    0.922    0.069     7166    1.708
      46       39    0.003    0.991    0.115    13770    1.965
      47       37    0.003    0.963    0.127     1925    1.615
      48       37    0.003    0.901    0.104     5377    1.701
      49       36    0.003    0.943    0.103    12418    1.873
      50       35    0.002    0.955    0.142     7185    2.111
      51       34    0.002    0.994    0.018     3819    1.850
      52       33    0.002    1.047    0.076    10850    1.862
      53       28    0.002    0.930    0.083     8339    1.950
      54       26    0.002    0.957    0.157     4399    1.636
      55       26    0.002    1.003    0.063     4987    1.851
      56       24    0.002    0.871    0.076     3141    1.706
      57       22    0.002    0.973    0.078     7824    1.732
      58       22    0.002    0.880    0.140     9625    1.880
      59       19    0.001    0.945    0.024     6362    1.717
      60       19    0.001    0.939    0.096     9082    1.930
      61       18    0.001    0.986    0.028     4637    1.759
      62       17    0.001    0.937    0.098     5156    1.771
      63       12    0.001    1.004    0.040     5855    2.136
      64       11    0.001    0.948    0.058     6382    2.653
      65       11    0.001    0.964    0.081    13311    1.554
      66        9    0.001    0.949    0.099     3207    1.695
